id,deep,deep_allowed,deepNet,result,ppda_cal,allowed_ppda,ppdaNet,HS.x,HST.x,HF.x,HC.x,HY.x,HR.x,AS.x,AST.x,AF.x,AC.x,AY.x,AR.x,ShotNet,STNet,FNet,CNet,YNet,RNet,HtrgPerc,AtrgPerc,PercNet
325,2,2,0,w,7.148148148,10.45,-3.301851852,7,4,15,4,0,0,9,0,12,3,2,0,-2,4,3,1,-2,0,0.571428571,0,0.571428571
326,6,3,3,l,4.533333333,17.21052632,-12.67719299,18,5,9,9,1,0,11,2,14,4,2,0,7,3,-5,5,-1,0,0.277777778,0.181818182,0.095959596
327,5,7,-2,d,7.033333333,11.5,-4.466666667,18,5,11,12,0,0,10,3,15,4,4,0,8,2,-4,8,-4,0,0.277777778,0.3,-0.022222222
328,2,2,0,l,10.45,7.148148148,3.301851852,7,4,15,4,0,0,9,0,12,3,2,0,-2,4,3,1,-2,0,0.571428571,0,0.571428571
329,7,5,2,d,11.5,7.033333333,4.466666667,18,5,11,12,0,0,10,3,15,4,4,0,8,2,-4,8,-4,0,0.277777778,0.3,-0.022222222
330,13,1,12,w,8,10.85,-2.85,7,3,10,3,2,0,8,0,9,2,2,0,-1,3,1,1,0,0,0.428571429,0,0.428571429
331,7,8,-1,l,7.722222222,11.95,-4.227777778,11,2,9,5,1,0,11,4,14,8,3,0,0,-2,-5,-3,-2,0,0.181818182,0.363636364,-0.181818182
332,8,7,1,w,11.95,7.722222222,4.227777778,11,2,9,5,1,0,11,4,14,8,3,0,0,-2,-5,-3,-2,0,0.181818182,0.363636364,-0.181818182
333,2,4,-2,d,11.25,8.909090909,2.340909091,24,8,10,6,1,0,8,3,12,5,2,0,16,5,-2,1,-1,0,0.333333333,0.375,-0.041666667
334,4,2,2,d,8.909090909,11.25,-2.340909091,24,8,10,6,1,0,8,3,12,5,2,0,16,5,-2,1,-1,0,0.333333333,0.375,-0.041666667
335,10,8,2,w,8.692307692,6.677419355,2.014888337,18,5,14,11,4,0,9,5,10,2,4,0,9,0,4,9,0,0,0.277777778,0.555555556,-0.277777778
336,8,10,-2,l,6.677419355,8.692307692,-2.014888337,18,5,14,11,4,0,9,5,10,2,4,0,9,0,4,9,0,0,0.277777778,0.555555556,-0.277777778
337,1,6,-5,l,18.13043478,8.513513514,9.616921266,6,1,9,3,1,0,14,7,24,3,4,0,-8,-6,-15,0,-3,0,0.166666667,0.5,-0.333333333
338,6,1,5,w,8.513513514,18.13043478,-9.616921266,6,1,9,3,1,0,14,7,24,3,4,0,-8,-6,-15,0,-3,0,0.166666667,0.5,-0.333333333
339,11,5,6,d,5.25,19.3125,-14.0625,11,4,7,3,1,0,15,10,12,7,1,0,-4,-6,-5,-4,0,0,0.363636364,0.666666667,-0.303030303
340,5,11,-6,d,19.3125,5.25,14.0625,11,4,7,3,1,0,15,10,12,7,1,0,-4,-6,-5,-4,0,0,0.363636364,0.666666667,-0.303030303
341,1,8,-7,d,8.043478261,12.42307692,-4.379598659,9,0,10,5,2,0,6,2,11,4,3,0,3,-2,-1,1,-1,0,0,0.333333333,-0.333333333
342,8,1,7,d,12.42307692,8.043478261,4.379598659,9,0,10,5,2,0,6,2,11,4,3,0,3,-2,-1,1,-1,0,0,0.333333333,-0.333333333
343,6,5,1,l,10.4375,12,-1.5625,19,6,16,7,2,0,17,8,15,5,1,0,2,-2,1,2,1,0,0.315789474,0.470588235,-0.154798761
344,6,0,6,l,5.555555556,8.392857143,-2.837301587,3,0,13,4,2,0,2,1,21,5,4,0,1,-1,-8,-1,-2,0,0,0.5,-0.5
345,9,1,8,l,8.533333333,20.22222222,-11.68888889,9,2,6,4,1,0,7,2,11,3,3,0,2,0,-5,1,-2,0,0.222222222,0.285714286,-0.063492064
346,0,6,-6,w,8.392857143,5.555555556,2.837301587,3,0,13,4,2,0,2,1,21,5,4,0,1,-1,-8,-1,-2,0,0,0.5,-0.5
347,14,6,8,l,8.652173913,12.5,-3.847826087,8,3,12,4,2,0,16,4,11,5,0,0,-8,-1,1,-1,2,0,0.375,0.25,0.125
348,6,14,-8,w,12.5,8.652173913,3.847826087,8,3,12,4,2,0,16,4,11,5,0,0,-8,-1,1,-1,2,0,0.375,0.25,0.125
349,4,2,2,l,14.58823529,9.461538462,5.126696828,13,7,7,3,2,0,14,4,14,11,4,0,-1,3,-7,-8,-2,0,0.538461538,0.285714286,0.252747252
